                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3269,                 4.4136,                 3.8169,                0.00185,                0.25947,                 0.0017,                0.00042,                 3.3953,                 4.4023,                  3.815,               0.070056,              0.0033271,              0.0033271
                      2,                 2.7634,                  3.815,                 3.1332,                0.23223,                0.15956,                0.09159,                0.03308,                 2.4103,                 3.2548,                 2.8374,                0.03999,              0.0065945,              0.0065945
                      3,                 2.0738,                 3.1176,                 2.4762,                0.39715,                0.33524,                0.28211,                0.14593,                 1.7563,                 2.4498,                  2.178,              0.0098578,              0.0097959,              0.0097959
                      4,                 1.8266,                 2.7734,                 2.2049,                0.48349,                0.41269,                0.43098,                0.25917,                 1.5382,                 2.1452,                 1.9513,               0.009703,               0.009703,               0.009703
                      5,                 1.6985,                 2.5326,                 2.0636,                0.49629,                0.50804,                0.49452,                0.29593,                 1.4809,                 1.9968,                  1.856,               0.009703,               0.009703,               0.009703
                      6,                 1.6321,                  2.376,                 1.9707,                0.63866,                0.50043,                 0.5666,                0.36892,                 1.3689,                 1.7928,                 1.7216,               0.009604,               0.009604,               0.009604
                      7,                 1.5855,                 2.2719,                 1.9082,                0.59474,                0.55341,                0.57488,                 0.3768,                 1.3342,                 1.7043,                 1.6921,               0.009505,               0.009505,               0.009505
                      8,                 1.5396,                 2.1779,                 1.8618,                0.65667,                0.55748,                0.61629,                0.42454,                 1.2823,                 1.6798,                  1.638,               0.009406,               0.009406,               0.009406
                      9,                 1.5161,                 2.1012,                 1.8346,                0.63455,                0.57828,                0.61965,                0.42492,                 1.2662,                 1.5729,                 1.6017,               0.009307,               0.009307,               0.009307
                     10,                 1.4858,                 2.0353,                 1.8014,                0.66345,                0.60789,                0.65646,                0.46163,                 1.2429,                  1.488,                 1.6002,               0.009208,               0.009208,               0.009208
                     11,                 1.4652,                 1.9956,                 1.7859,                0.69409,                0.61616,                0.67601,                0.47181,                 1.1982,                 1.4334,                 1.5392,               0.009109,               0.009109,               0.009109
                     12,                  1.445,                 1.9456,                 1.7664,                 0.7012,                0.63949,                0.71255,                0.50402,                 1.1703,                  1.326,                 1.5138,                0.00901,                0.00901,                0.00901
                     13,                 1.4228,                 1.8836,                 1.7389,                0.71328,                0.65327,                0.72069,                0.51361,                 1.1547,                 1.2843,                 1.4988,               0.008911,               0.008911,               0.008911
                     14,                 1.4133,                 1.8593,                 1.7308,                0.77433,                0.65965,                0.74154,                0.53069,                 1.1386,                 1.2471,                 1.4788,               0.008812,               0.008812,               0.008812
                     15,                 1.4023,                 1.8129,                 1.7192,                0.73662,                0.66482,                0.73735,                0.52963,                 1.1275,                 1.2271,                  1.475,               0.008713,               0.008713,               0.008713
                     16,                  1.389,                 1.8107,                 1.7026,                0.75702,                0.68686,                0.75192,                 0.5398,                 1.1159,                 1.1881,                 1.4551,               0.008614,               0.008614,               0.008614
                     17,                 1.3856,                 1.7836,                 1.6965,                0.74006,                0.67189,                 0.7426,                0.52909,                 1.1165,                 1.1921,                 1.4566,               0.008515,               0.008515,               0.008515
                     18,                 1.3634,                 1.7479,                 1.6805,                0.76453,                0.67517,                0.75568,                0.54286,                 1.1022,                 1.1798,                 1.4453,               0.008416,               0.008416,               0.008416
                     19,                 1.3545,                 1.7405,                  1.676,                0.74977,                0.71086,                0.76999,                0.55989,                 1.0808,                 1.1307,                 1.4265,               0.008317,               0.008317,               0.008317
                     20,                 1.3493,                 1.6932,                 1.6586,                0.78002,                0.69874,                0.76656,                 0.5586,                  1.085,                 1.1204,                 1.4124,               0.008218,               0.008218,               0.008218
                     21,                 1.3426,                 1.6872,                 1.6557,                0.80252,                0.70379,                0.77583,                0.56753,                 1.0598,                 1.1028,                 1.4013,               0.008119,               0.008119,               0.008119
                     22,                 1.3238,                 1.6654,                  1.645,                0.78936,                0.71262,                0.78562,                0.57337,                 1.0612,                  1.057,                 1.3953,                0.00802,                0.00802,                0.00802
