epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.285,3.31172,4.65951,4.12121,0.11087,0.03898,0.00413,0.00099,3.00766,4.96243,3.79774,0.00332715,0.00332715,0.00332715
2,315.907,2.57425,3.90184,3.21943,0.27381,0.18463,0.11724,0.04225,2.4097,3.97821,2.94297,0.00659454,0.00659454,0.00659454
3,470.542,1.91786,3.07776,2.43218,0.25851,0.34734,0.28222,0.15783,1.7107,3.38564,2.15716,0.00979594,0.00979594,0.00979594
4,624.385,1.66709,2.59932,2.07575,0.37567,0.43632,0.39861,0.23555,1.63008,2.35328,2.03522,0.009703,0.009703,0.009703
5,778.002,1.56867,2.32375,1.93341,0.45189,0.49138,0.46237,0.28839,1.47309,2.1386,1.85815,0.009604,0.009604,0.009604
6,932.329,1.50823,2.1567,1.84627,0.50617,0.51099,0.52637,0.35399,1.38066,1.96318,1.7431,0.009505,0.009505,0.009505
7,1085.79,1.45513,2.02012,1.77212,0.56411,0.53062,0.55812,0.37369,1.32195,1.81684,1.67079,0.009406,0.009406,0.009406
8,1239.98,1.41653,1.94562,1.73716,0.68965,0.51744,0.58278,0.3981,1.3148,1.77802,1.68893,0.009307,0.009307,0.009307
9,1393.59,1.38865,1.86753,1.69809,0.60647,0.60539,0.63577,0.4372,1.26611,1.5367,1.60911,0.009208,0.009208,0.009208
10,1548.06,1.35404,1.79868,1.65821,0.699,0.5863,0.65874,0.46153,1.22927,1.49099,1.57084,0.009109,0.009109,0.009109
11,1702.07,1.34286,1.77385,1.64272,0.66031,0.59932,0.64383,0.45025,1.23652,1.48418,1.57818,0.00901,0.00901,0.00901
12,1855.42,1.32041,1.71797,1.62741,0.70686,0.61047,0.68274,0.47562,1.20483,1.40088,1.53848,0.008911,0.008911,0.008911
13,2009.32,1.30372,1.66032,1.5988,0.72149,0.62545,0.69113,0.48707,1.20161,1.33141,1.53826,0.008812,0.008812,0.008812
14,2163.17,1.29299,1.62728,1.59048,0.69877,0.66635,0.71284,0.50212,1.17055,1.2781,1.51021,0.008713,0.008713,0.008713
15,2316.87,1.27369,1.59001,1.57394,0.71494,0.65538,0.71975,0.51597,1.1305,1.22119,1.46927,0.008614,0.008614,0.008614
16,2470.48,1.25443,1.54305,1.55219,0.7244,0.66561,0.72554,0.51896,1.14103,1.1998,1.47333,0.008515,0.008515,0.008515
17,2624.41,1.25204,1.53466,1.54849,0.72307,0.67381,0.73172,0.53015,1.13011,1.19426,1.44991,0.008416,0.008416,0.008416
18,2778.27,1.24229,1.50306,1.54109,0.70304,0.67849,0.72404,0.524,1.12023,1.22113,1.45878,0.008317,0.008317,0.008317
19,2931.56,1.23503,1.48611,1.53263,0.75092,0.6799,0.74056,0.53593,1.11088,1.1656,1.44829,0.008218,0.008218,0.008218
20,3085.75,1.22673,1.46734,1.51923,0.77422,0.68177,0.75774,0.54925,1.0903,1.12445,1.4217,0.008119,0.008119,0.008119
21,3239.4,1.20946,1.44091,1.50908,0.76681,0.6768,0.7526,0.54724,1.0909,1.11179,1.41403,0.00802,0.00802,0.00802
22,3393.15,1.21584,1.43054,1.50934,0.7542,0.68398,0.75576,0.54089,1.09679,1.13845,1.42566,0.007921,0.007921,0.007921
23,3546.45,1.20507,1.4048,1.4944,0.78676,0.69964,0.773,0.55853,1.06833,1.05148,1.39953,0.007822,0.007822,0.007822
24,3702.14,1.20131,1.39307,1.49595,0.78629,0.69573,0.77435,0.56642,1.07488,1.06139,1.39718,0.007723,0.007723,0.007723
25,3856.34,1.1817,1.35233,1.48232,0.76899,0.712,0.77611,0.56762,1.06334,1.05938,1.3903,0.007624,0.007624,0.007624
26,4009.58,1.1769,1.34745,1.47168,0.77366,0.72025,0.78183,0.57163,1.05094,1.03853,1.37913,0.007525,0.007525,0.007525
27,4163.67,1.1775,1.33935,1.4774,0.79601,0.71826,0.79545,0.58012,1.05185,1.00425,1.382,0.007426,0.007426,0.007426
28,4317.69,1.17291,1.31864,1.46556,0.78425,0.72237,0.79677,0.58765,1.03419,0.97872,1.36295,0.007327,0.007327,0.007327
29,4471.73,1.168,1.302,1.46297,0.7976,0.72782,0.80296,0.5901,1.04301,0.98452,1.36445,0.007228,0.007228,0.007228
